walk_index,terminal_position,scaled_terminal
320,-2,-0.0632456
321,16,0.505964
322,-28,-0.885438
323,30,0.948683
324,-30,-0.948683
325,26,0.822192
326,14,0.442719
327,-14,-0.442719
328,10,0.316228
329,-32,-1.01193
330,74,2.34009
331,6,0.189737
332,4,0.126491
333,-30,-0.948683
334,12,0.379473
335,-54,-1.70763
336,4,0.126491
337,6,0.189737
338,38,1.20167
339,4,0.126491
340,6,0.189737
341,-2,-0.0632456
342,62,1.96061
343,18,0.56921
344,-80,-2.52982
345,-12,-0.379473
346,22,0.695701
347,4,0.126491
348,-22,-0.695701
349,-2,-0.0632456
350,-4,-0.126491
351,16,0.505964
352,10,0.316228
353,8,0.252982
354,-10,-0.316228
355,36,1.13842
356,48,1.51789
357,6,0.189737
358,64,2.02386
359,26,0.822192
360,-32,-1.01193
361,0,0
362,-42,-1.32816
363,6,0.189737
364,18,0.56921
365,-28,-0.885438
366,24,0.758947
367,-48,-1.51789
368,-8,-0.252982
369,-28,-0.885438
370,18,0.56921
371,-16,-0.505964
372,36,1.13842
373,26,0.822192
374,14,0.442719
375,26,0.822192
376,14,0.442719
377,-26,-0.822192
378,24,0.758947
379,-22,-0.695701
380,-20,-0.632456
381,34,1.07517
382,-2,-0.0632456
383,-10,-0.316228
384,46,1.45465
385,-16,-0.505964
386,24,0.758947
387,-38,-1.20167
388,40,1.26491
389,0,0
390,28,0.885438
391,-36,-1.13842
392,64,2.02386
393,14,0.442719
394,-32,-1.01193
395,32,1.01193
396,28,0.885438
397,-28,-0.885438
398,-56,-1.77088
399,0,0
400,20,0.632456
401,68,2.15035
402,2,0.0632456
403,30,0.948683
404,-50,-1.58114
405,-46,-1.45465
406,-16,-0.505964
407,38,1.20167
408,18,0.56921
409,6,0.189737
410,-22,-0.695701
411,-54,-1.70763
412,16,0.505964
413,12,0.379473
414,10,0.316228
415,-40,-1.26491
416,-46,-1.45465
417,-26,-0.822192
418,2,0.0632456
419,-48,-1.51789
420,-24,-0.758947
421,-14,-0.442719
422,-10,-0.316228
423,18,0.56921
424,8,0.252982
425,8,0.252982
426,0,0
427,-10,-0.316228
428,-4,-0.126491
429,-14,-0.442719
430,14,0.442719
431,-6,-0.189737
432,14,0.442719
433,-30,-0.948683
434,-30,-0.948683
435,2,0.0632456
436,0,0
437,18,0.56921
438,44,1.3914
439,8,0.252982
440,-6,-0.189737
441,-4,-0.126491
442,90,2.84605
443,24,0.758947
444,16,0.505964
445,10,0.316228
446,44,1.3914
447,-24,-0.758947
448,16,0.505964
449,14,0.442719
450,44,1.3914
451,-18,-0.56921
452,20,0.632456
453,-12,-0.379473
454,46,1.45465
455,20,0.632456
456,-6,-0.189737
457,14,0.442719
458,20,0.632456
459,-8,-0.252982
460,2,0.0632456
461,-46,-1.45465
462,16,0.505964
463,-18,-0.56921
464,26,0.822192
465,-26,-0.822192
466,16,0.505964
467,28,0.885438
468,26,0.822192
469,-38,-1.20167
470,-8,-0.252982
471,38,1.20167
472,-26,-0.822192
473,-26,-0.822192
474,-12,-0.379473
475,-26,-0.822192
476,-58,-1.83412
477,-70,-2.21359
478,28,0.885438
479,-18,-0.56921
480,-12,-0.379473
481,-4,-0.126491
482,-6,-0.189737
483,22,0.695701
484,-20,-0.632456
485,-12,-0.379473
486,80,2.52982
487,32,1.01193
488,58,1.83412
489,52,1.64438
490,-28,-0.885438
491,-16,-0.505964
492,-20,-0.632456
493,46,1.45465
494,-42,-1.32816
495,-26,-0.822192
496,-24,-0.758947
497,28,0.885438
498,-12,-0.379473
499,6,0.189737
500,-44,-1.3914
501,-22,-0.695701
502,-16,-0.505964
503,8,0.252982
504,14,0.442719
505,-38,-1.20167
506,-16,-0.505964
507,52,1.64438
508,-32,-1.01193
509,22,0.695701
510,40,1.26491
511,24,0.758947
512,60,1.89737
513,24,0.758947
514,-48,-1.51789
515,-56,-1.77088
516,8,0.252982
517,-62,-1.96061
518,34,1.07517
519,-72,-2.27684
520,-2,-0.0632456
521,16,0.505964
522,-14,-0.442719
523,8,0.252982
524,-14,-0.442719
525,6,0.189737
526,22,0.695701
527,16,0.505964
528,-54,-1.70763
529,12,0.379473
530,-22,-0.695701
531,36,1.13842
532,26,0.822192
533,40,1.26491
534,-4,-0.126491
535,44,1.3914
536,-12,-0.379473
537,44,1.3914
538,42,1.32816
539,-18,-0.56921
540,-8,-0.252982
541,0,0
542,-28,-0.885438
543,54,1.70763
544,-8,-0.252982
545,86,2.71956
546,-36,-1.13842
547,-6,-0.189737
548,-16,-0.505964
549,-32,-1.01193
550,4,0.126491
551,2,0.0632456
552,4,0.126491
553,52,1.64438
554,10,0.316228
555,-4,-0.126491
556,16,0.505964
557,-22,-0.695701
558,34,1.07517
559,24,0.758947
560,48,1.51789
561,-6,-0.189737
562,-74,-2.34009
563,-22,-0.695701
564,44,1.3914
565,8,0.252982
566,18,0.56921
567,2,0.0632456
568,20,0.632456
569,-18,-0.56921
570,-12,-0.379473
571,40,1.26491
572,-58,-1.83412
573,-22,-0.695701
574,6,0.189737
575,0,0
576,-56,-1.77088
577,24,0.758947
578,56,1.77088
579,-12,-0.379473
580,24,0.758947
581,-14,-0.442719
582,22,0.695701
583,-10,-0.316228
584,8,0.252982
585,50,1.58114
586,-8,-0.252982
587,-2,-0.0632456
588,-28,-0.885438
589,-26,-0.822192
590,18,0.56921
591,14,0.442719
592,-26,-0.822192
593,-32,-1.01193
594,32,1.01193
595,56,1.77088
596,2,0.0632456
597,-20,-0.632456
598,-2,-0.0632456
599,-10,-0.316228
600,22,0.695701
601,-8,-0.252982
602,30,0.948683
603,8,0.252982
604,-8,-0.252982
605,-18,-0.56921
606,22,0.695701
607,32,1.01193
608,-36,-1.13842
609,32,1.01193
610,44,1.3914
611,-38,-1.20167
612,44,1.3914
613,-64,-2.02386
614,-38,-1.20167
615,78,2.46658
616,-30,-0.948683
617,-68,-2.15035
618,0,0
619,2,0.0632456
620,22,0.695701
621,-32,-1.01193
622,34,1.07517
623,34,1.07517
624,-20,-0.632456
625,-80,-2.52982
626,-60,-1.89737
627,-10,-0.316228
628,0,0
629,48,1.51789
630,-48,-1.51789
631,28,0.885438
632,-24,-0.758947
633,32,1.01193
634,-16,-0.505964
635,-54,-1.70763
636,8,0.252982
637,-18,-0.56921
638,74,2.34009
639,4,0.126491
640,48,1.51789
641,8,0.252982
642,28,0.885438
643,-10,-0.316228
644,6,0.189737
645,-12,-0.379473
646,-10,-0.316228
647,-46,-1.45465
648,18,0.56921
649,-20,-0.632456
650,-28,-0.885438
651,38,1.20167
652,30,0.948683
653,14,0.442719
654,0,0
655,-4,-0.126491
656,0,0
657,-52,-1.64438
658,18,0.56921
659,-32,-1.01193
660,0,0
661,-40,-1.26491
662,-16,-0.505964
663,0,0
664,12,0.379473
665,18,0.56921
666,42,1.32816
667,-34,-1.07517
668,10,0.316228
669,-46,-1.45465
670,-24,-0.758947
671,2,0.0632456
672,2,0.0632456
673,-60,-1.89737
674,-14,-0.442719
675,32,1.01193
676,-62,-1.96061
677,-42,-1.32816
678,-26,-0.822192
679,-20,-0.632456
680,0,0
681,-26,-0.822192
682,18,0.56921
683,-4,-0.126491
684,-50,-1.58114
685,0,0
686,-40,-1.26491
687,-14,-0.442719
688,4,0.126491
689,-36,-1.13842
690,12,0.379473
691,-42,-1.32816
692,-50,-1.58114
693,-12,-0.379473
694,42,1.32816
695,-12,-0.379473
696,24,0.758947
697,-20,-0.632456
698,-36,-1.13842
699,-18,-0.56921
700,0,0
701,14,0.442719
702,-34,-1.07517
703,2,0.0632456
704,-26,-0.822192
705,-22,-0.695701
706,26,0.822192
707,-32,-1.01193
708,56,1.77088
709,-26,-0.822192
710,-54,-1.70763
711,-10,-0.316228
712,30,0.948683
713,16,0.505964
714,16,0.505964
715,6,0.189737
716,-8,-0.252982
717,-20,-0.632456
718,10,0.316228
719,-6,-0.189737
720,-36,-1.13842
721,114,3.605
722,36,1.13842
723,-4,-0.126491
724,-44,-1.3914
725,30,0.948683
726,4,0.126491
727,-30,-0.948683
728,20,0.632456
729,28,0.885438
730,4,0.126491
731,-36,-1.13842
732,-28,-0.885438
733,6,0.189737
734,16,0.505964
735,28,0.885438
736,54,1.70763
737,24,0.758947
738,-12,-0.379473
739,-6,-0.189737
740,4,0.126491
741,20,0.632456
742,-10,-0.316228
743,-10,-0.316228
744,-4,-0.126491
745,24,0.758947
746,-12,-0.379473
747,-36,-1.13842
748,70,2.21359
749,-32,-1.01193
750,40,1.26491
751,-34,-1.07517
752,-34,-1.07517
753,8,0.252982
754,-8,-0.252982
755,-34,-1.07517
756,-32,-1.01193
757,-30,-0.948683
758,12,0.379473
759,14,0.442719
760,12,0.379473
761,-50,-1.58114
762,-12,-0.379473
763,8,0.252982
764,-14,-0.442719
765,-28,-0.885438
766,-38,-1.20167
767,-22,-0.695701
768,-2,-0.0632456
769,72,2.27684
770,-18,-0.56921
771,22,0.695701
772,-52,-1.64438
773,30,0.948683
774,14,0.442719
775,40,1.26491
776,36,1.13842
777,-24,-0.758947
778,4,0.126491
779,20,0.632456
780,30,0.948683
781,-24,-0.758947
782,-18,-0.56921
783,46,1.45465
784,40,1.26491
785,28,0.885438
786,22,0.695701
787,40,1.26491
788,22,0.695701
789,44,1.3914
790,-36,-1.13842
791,-74,-2.34009
792,-6,-0.189737
793,4,0.126491
794,66,2.0871
795,46,1.45465
796,-46,-1.45465
797,10,0.316228
798,-6,-0.189737
799,40,1.26491
800,34,1.07517
801,-18,-0.56921
802,-34,-1.07517
803,-4,-0.126491
804,44,1.3914
805,-32,-1.01193
806,-22,-0.695701
807,-6,-0.189737
808,-8,-0.252982
809,-6,-0.189737
810,58,1.83412
811,-42,-1.32816
812,-14,-0.442719
813,14,0.442719
814,16,0.505964
815,14,0.442719
816,-18,-0.56921
817,38,1.20167
818,-26,-0.822192
819,-10,-0.316228
820,48,1.51789
821,-24,-0.758947
822,14,0.442719
823,16,0.505964
824,-22,-0.695701
825,-42,-1.32816
826,92,2.9093
827,60,1.89737
828,0,0
829,50,1.58114
830,-2,-0.0632456
831,-8,-0.252982
832,0,0
833,32,1.01193
834,2,0.0632456
835,14,0.442719
836,-64,-2.02386
837,0,0
838,28,0.885438
839,50,1.58114
840,-26,-0.822192
841,-8,-0.252982
842,-20,-0.632456
843,34,1.07517
844,30,0.948683
845,40,1.26491
846,-54,-1.70763
847,-26,-0.822192
848,16,0.505964
849,40,1.26491
850,-8,-0.252982
851,-2,-0.0632456
852,-24,-0.758947
853,-20,-0.632456
854,-48,-1.51789
855,-12,-0.379473
856,-4,-0.126491
857,46,1.45465
858,-90,-2.84605
859,-20,-0.632456
860,-44,-1.3914
861,56,1.77088
862,34,1.07517
863,12,0.379473
864,-40,-1.26491
865,14,0.442719
866,16,0.505964
867,-42,-1.32816
868,-32,-1.01193
869,-10,-0.316228
870,34,1.07517
871,20,0.632456
872,12,0.379473
873,-6,-0.189737
874,-50,-1.58114
875,44,1.3914
876,-16,-0.505964
877,20,0.632456
878,-8,-0.252982
879,-20,-0.632456
880,32,1.01193
881,54,1.70763
882,8,0.252982
883,-56,-1.77088
884,28,0.885438
885,-52,-1.64438
886,2,0.0632456
887,38,1.20167
888,-40,-1.26491
889,-28,-0.885438
890,-40,-1.26491
891,-30,-0.948683
892,2,0.0632456
893,48,1.51789
894,4,0.126491
895,10,0.316228
896,-22,-0.695701
897,44,1.3914
898,2,0.0632456
899,46,1.45465
900,20,0.632456
901,20,0.632456
902,-8,-0.252982
903,-40,-1.26491
904,2,0.0632456
905,8,0.252982
906,56,1.77088
907,-28,-0.885438
908,-48,-1.51789
909,-2,-0.0632456
910,-2,-0.0632456
911,0,0
912,56,1.77088
913,-26,-0.822192
914,-36,-1.13842
915,-8,-0.252982
916,18,0.56921
917,6,0.189737
918,-14,-0.442719
919,20,0.632456
920,-14,-0.442719
921,6,0.189737
922,-70,-2.21359
923,-16,-0.505964
924,44,1.3914
925,-10,-0.316228
926,10,0.316228
927,-8,-0.252982
928,-22,-0.695701
929,24,0.758947
930,-28,-0.885438
931,40,1.26491
932,-12,-0.379473
933,28,0.885438
934,-26,-0.822192
935,4,0.126491
936,-46,-1.45465
937,-12,-0.379473
938,-4,-0.126491
939,24,0.758947
940,-4,-0.126491
941,-36,-1.13842
942,46,1.45465
943,-84,-2.65631
944,22,0.695701
945,-34,-1.07517
946,-12,-0.379473
947,-22,-0.695701
948,-40,-1.26491
949,-40,-1.26491
950,8,0.252982
951,22,0.695701
952,2,0.0632456
953,36,1.13842
954,42,1.32816
955,42,1.32816
956,34,1.07517
957,-34,-1.07517
958,-56,-1.77088
959,4,0.126491
960,28,0.885438
961,10,0.316228
962,16,0.505964
963,-42,-1.32816
964,28,0.885438
965,18,0.56921
966,-2,-0.0632456
967,18,0.56921
968,-20,-0.632456
969,-12,-0.379473
970,38,1.20167
971,38,1.20167
972,-20,-0.632456
973,-52,-1.64438
974,30,0.948683
975,-24,-0.758947
976,24,0.758947
977,14,0.442719
978,32,1.01193
979,100,3.16228
980,22,0.695701
981,28,0.885438
982,28,0.885438
983,-90,-2.84605
984,26,0.822192
985,-8,-0.252982
986,42,1.32816
987,-10,-0.316228
988,-30,-0.948683
989,22,0.695701
990,-12,-0.379473
991,-20,-0.632456
992,28,0.885438
993,36,1.13842
994,-16,-0.505964
995,70,2.21359
996,6,0.189737
997,16,0.505964
998,28,0.885438
999,46,1.45465
1000,2,0.0632456
1001,38,1.20167
1002,-36,-1.13842
1003,-32,-1.01193
1004,72,2.27684
1005,20,0.632456
1006,-6,-0.189737
1007,64,2.02386
1008,4,0.126491
1009,4,0.126491
1010,24,0.758947
1011,-14,-0.442719
1012,-44,-1.3914
1013,20,0.632456
1014,14,0.442719
1015,-28,-0.885438
1016,-2,-0.0632456
1017,-36,-1.13842
1018,-58,-1.83412
1019,42,1.32816
1020,10,0.316228
1021,-44,-1.3914
1022,4,0.126491
1023,12,0.379473
1024,16,0.505964
1025,2,0.0632456
1026,2,0.0632456
1027,38,1.20167
1028,12,0.379473
1029,-4,-0.126491
1030,-22,-0.695701
1031,8,0.252982
1032,38,1.20167
1033,-10,-0.316228
1034,-30,-0.948683
1035,34,1.07517
1036,-38,-1.20167
1037,60,1.89737
1038,26,0.822192
1039,-2,-0.0632456
1040,20,0.632456
1041,-20,-0.632456
1042,50,1.58114
1043,20,0.632456
1044,-2,-0.0632456
1045,28,0.885438
1046,-20,-0.632456
1047,-12,-0.379473
1048,94,2.97254
1049,-10,-0.316228
1050,6,0.189737
1051,16,0.505964
1052,20,0.632456
1053,4,0.126491
1054,-18,-0.56921
1055,10,0.316228
1056,38,1.20167
1057,22,0.695701
1058,30,0.948683
1059,28,0.885438
1060,-24,-0.758947
1061,32,1.01193
1062,-8,-0.252982
1063,-30,-0.948683
1064,-76,-2.40333
1065,-14,-0.442719
1066,8,0.252982
1067,4,0.126491
1068,22,0.695701
1069,-6,-0.189737
1070,-18,-0.56921
1071,18,0.56921
1072,0,0
1073,66,2.0871
1074,-6,-0.189737
1075,-26,-0.822192
1076,-18,-0.56921
1077,32,1.01193
1078,12,0.379473
1079,-40,-1.26491
1080,-36,-1.13842
1081,-10,-0.316228
1082,54,1.70763
1083,-14,-0.442719
1084,10,0.316228
1085,-32,-1.01193
1086,-82,-2.59307
1087,-28,-0.885438
1088,-10,-0.316228
1089,-22,-0.695701
1090,-24,-0.758947
1091,-30,-0.948683
1092,40,1.26491
1093,14,0.442719
1094,-52,-1.64438
1095,-8,-0.252982
1096,2,0.0632456
1097,-32,-1.01193
1098,34,1.07517
1099,-8,-0.252982
1100,42,1.32816
1101,-52,-1.64438
1102,78,2.46658
1103,-20,-0.632456
1104,4,0.126491
1105,6,0.189737
1106,16,0.505964
1107,38,1.20167
1108,60,1.89737
1109,44,1.3914
1110,22,0.695701
1111,-22,-0.695701
1112,44,1.3914
1113,12,0.379473
1114,-8,-0.252982
1115,28,0.885438
1116,-8,-0.252982
1117,-70,-2.21359
1118,-40,-1.26491
1119,-22,-0.695701
1120,18,0.56921
1121,-38,-1.20167
1122,-10,-0.316228
1123,-14,-0.442719
1124,-92,-2.9093
1125,10,0.316228
1126,22,0.695701
1127,30,0.948683
1128,-26,-0.822192
1129,36,1.13842
1130,-72,-2.27684
1131,62,1.96061
1132,32,1.01193
1133,20,0.632456
1134,4,0.126491
1135,-64,-2.02386
1136,-18,-0.56921
1137,-46,-1.45465
1138,-6,-0.189737
1139,-42,-1.32816
1140,30,0.948683
1141,-4,-0.126491
1142,-76,-2.40333
1143,-26,-0.822192
1144,-38,-1.20167
1145,12,0.379473
1146,22,0.695701
1147,-10,-0.316228
1148,-12,-0.379473
1149,0,0
1150,-18,-0.56921
1151,-20,-0.632456
1152,14,0.442719
1153,22,0.695701
1154,10,0.316228
1155,46,1.45465
1156,14,0.442719
1157,-14,-0.442719
1158,36,1.13842
1159,-12,-0.379473
1160,-4,-0.126491
1161,-8,-0.252982
1162,-56,-1.77088
1163,26,0.822192
1164,4,0.126491
1165,24,0.758947
1166,22,0.695701
1167,8,0.252982
1168,30,0.948683
1169,26,0.822192
1170,-2,-0.0632456
1171,10,0.316228
1172,-50,-1.58114
1173,28,0.885438
1174,8,0.252982
1175,0,0
1176,-40,-1.26491
1177,22,0.695701
